trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.374228400061838,10.420993400039151,10.423929700045846,up,1,0.6236904000397772,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
1,0,1,0,11.069772199960425,12.069756799959578,12.069756799959578,down,1,0.7910832000197843,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
2,0,2,0,12.88640730001498,13.886433199979365,13.886433199979365,up,1,0.8341834000311792,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
3,0,3,0,14.753165900008753,15.753201900050044,15.753201900050044,down,0,0.6263830000534654,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
4,0,4,0,16.40337079996243,17.403055600007065,17.403055600007065,up,1,0.5548846999881789,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
5,0,5,0,17.9863077000482,18.986484199995175,18.986484199995175,up,1,0.5334544000215828,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
6,0,6,0,19.536405200022273,20.536538299988024,20.536538299988024,up,0,0.6257026999955997,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
7,0,7,0,21.186347100068815,22.186391500057653,22.186391500057653,up,1,0.4094143999973312,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
8,0,8,0,22.619461999973282,23.61954720003996,23.61954720003996,down,1,0.5847870000870898,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
9,0,9,0,24.23624350002501,25.236252499977127,25.236252499977127,up,1,0.3676822999259457,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
10,0,10,0,25.63647510006558,26.636202199966647,26.636202199966647,down,1,0.5666005000239238,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
11,0,11,0,27.219452299992554,28.219351900042966,28.219351900042966,up,1,0.4187907000305131,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
12,0,12,0,28.66950680001173,29.669484799960628,29.669484799960628,down,1,0.5922518000006676,-5,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
13,0,13,0,30.286121399956755,31.286284900037572,31.286284900037572,down,0,0.8632362000644207,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
14,0,14,0,32.16920909995679,33.16951340006199,33.16951340006199,down,0,0.7032051000278443,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
15,0,15,0,33.90263839997351,34.90280669997446,34.90280669997446,up,1,0.7257042999844998,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
16,0,16,0,35.652713199961,36.65294349996839,36.65294349996839,down,1,0.6827968000434339,-4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
17,0,17,0,37.352604200015776,38.35270659998059,38.35270659998059,down,1,0.6026558000594378,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
