1.6310 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.4601 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.1711 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002C165C7DF40>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002C167BEA8B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1717 	EXP 	window1: mouseVisible = True
7.1720 	EXP 	window1: mouseVisible = False
7.1721 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.1721 	EXP 	window1: recordFrameIntervals = False
7.3372 	EXP 	window1: recordFrameIntervals = True
7.5206 	EXP 	Screen (0) actual frame rate measured at 60.04Hz
7.5207 	EXP 	window1: recordFrameIntervals = False
9.3274 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
9.3593 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
9.3605 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
9.3613 	EXP 	New trial (rep=0, index=0): None
9.3638 	DATA 	Keypress: down
9.3742 	EXP 	grating: ori = 0.0
9.3742 	EXP 	fixation: autoDraw = True
10.4210 	EXP 	grating: autoDraw = True
10.4210 	EXP 	grating: tex = 'sin'
10.4239 	EXP 	fixation: autoDraw = False
10.7364 	EXP 	grating: autoDraw = False
11.0590 	EXP 	New trial (rep=1, index=0): None
11.0610 	DATA 	Keypress: up
11.0698 	EXP 	fixation: autoDraw = False
11.0698 	EXP 	grating: autoDraw = False
11.0698 	EXP 	grating: ori = 3.0
11.0698 	EXP 	fixation: autoDraw = True
12.0698 	EXP 	fixation: autoDraw = False
12.0698 	EXP 	grating: autoDraw = True
12.3697 	EXP 	grating: autoDraw = False
12.8743 	EXP 	New trial (rep=2, index=0): None
12.8765 	DATA 	Keypress: down
12.8864 	EXP 	fixation: autoDraw = False
12.8864 	EXP 	grating: autoDraw = False
12.8864 	EXP 	grating: ori = 0.0
12.8864 	EXP 	fixation: autoDraw = True
13.8864 	EXP 	fixation: autoDraw = False
13.8864 	EXP 	grating: autoDraw = True
14.1864 	EXP 	grating: autoDraw = False
14.7227 	DATA 	Keypress: up
14.7407 	EXP 	New trial (rep=3, index=0): None
14.7532 	EXP 	fixation: autoDraw = False
14.7532 	EXP 	grating: autoDraw = False
14.7532 	EXP 	grating: ori = 0.0
14.7532 	EXP 	fixation: autoDraw = True
15.7532 	EXP 	fixation: autoDraw = False
15.7532 	EXP 	grating: autoDraw = True
16.0532 	EXP 	grating: autoDraw = False
16.3916 	EXP 	New trial (rep=4, index=0): None
16.3937 	DATA 	Keypress: down
16.4034 	EXP 	fixation: autoDraw = False
16.4034 	EXP 	grating: autoDraw = False
